Month,fed_intr_rates
1/31/15,0.11
2/28/15,0.11
3/31/15,0.11
4/30/15,0.12
5/31/15,0.12
6/30/15,0.13
7/31/15,0.13
8/31/15,0.14
9/30/15,0.14
10/31/15,0.12
11/30/15,0.12
12/31/15,0.24
1/31/16,0.34
2/29/16,0.38
3/31/16,0.36
4/30/16,0.37
5/31/16,0.37
6/30/16,0.38
7/31/16,0.39
8/31/16,0.4
9/30/16,0.4
10/31/16,0.4
11/30/16,0.41
12/31/16,0.54
1/31/17,0.65
2/28/17,0.66
3/31/17,0.79
4/30/17,0.9
5/31/17,0.91
6/30/17,1.04
7/31/17,1.15
8/31/17,1.16
9/30/17,1.15
10/31/17,1.15
11/30/17,1.16
12/31/17,1.3
1/31/18,1.41
2/28/18,1.42
3/31/18,1.51
4/30/18,1.69
5/31/18,1.7
6/30/18,1.82
7/31/18,1.91
8/31/18,1.91
9/30/18,1.95
10/31/18,2.19
11/30/18,2.2
12/31/18,2.27
1/31/19,2.4
2/28/19,2.4
3/31/19,2.41
4/30/19,2.42
5/31/19,2.39
6/30/19,2.38
7/31/19,2.4
8/31/19,2.13
9/30/19,2.04
10/31/19,1.83
11/30/19,1.55
12/31/19,1.55
1/31/20,1.55
2/29/20,1.58
3/31/20,0.65
4/30/20,0.05
5/31/20,0.05
6/30/20,0.08
7/31/20,0.09
8/31/20,0.1
9/30/20,0.09
10/31/20,0.09
11/30/20,0.09
12/31/20,0.09
1/31/21,0.09
2/28/21,0.08
3/31/21,0.07
4/30/21,0.07
5/31/21,0.06
6/30/21,0.08
7/31/21,0.1
8/31/21,0.09
9/30/21,0.08
10/31/21,0.08
11/30/21,0.08
12/31/21,0.08
1/31/22,0.08
2/28/22,0.08
3/31/22,0.2
4/30/22,0.33
5/31/22,0.77
6/30/22,1.21
7/31/22,1.68
8/31/22,2.33
9/30/22,2.56
10/31/22,3.08
11/30/22,3.78
12/31/22,4.1
1/31/23,4.33
2/28/23,4.57
3/31/23,4.65
4/30/23,4.83
5/31/23,5.06
6/30/23,5.08
7/31/23,5.12
8/31/23,5.33
9/30/23,5.33